
### start test phase for MLP_HL:

epochs/idx:   1/ 115| loss: -0.007370| predLoss:  0.003| Sharpe: -1.517| gamma:  0.4942
epochs/idx:   1/ 116| loss: -0.006226| predLoss:  0.001| Sharpe: -1.277| gamma:  0.4942
epochs/idx:   1/ 117| loss: -0.003727| predLoss:  0.002| Sharpe: -0.770| gamma:  0.4942
epochs/idx:   1/ 118| loss: -0.003884| predLoss:  0.002| Sharpe: -0.800| gamma:  0.4942
epochs/idx:   1/ 119| loss: -0.003772| predLoss:  0.002| Sharpe: -0.779| gamma:  0.4942
epochs/idx:   1/ 120| loss: -0.002912| predLoss:  0.001| Sharpe: -0.600| gamma:  0.4942
epochs/idx:   1/ 121| loss: -0.000277| predLoss:  0.002| Sharpe: -0.064| gamma:  0.4942
epochs/idx:   1/ 122| loss: -0.000612| predLoss:  0.001| Sharpe: -0.132| gamma:  0.4942
epochs/idx:   1/ 123| loss: -0.000182| predLoss:  0.001| Sharpe: -0.044| gamma:  0.4942
epochs/idx:   1/ 124| loss:  0.000914| predLoss:  0.001| Sharpe:  0.180| gamma:  0.4942
epochs/idx:   1/ 125| loss:  0.000649| predLoss:  0.001| Sharpe:  0.126| gamma:  0.4942
epochs/idx:   1/ 126| loss:  0.000923| predLoss:  0.001| Sharpe:  0.182| gamma:  0.4942
epochs/idx:   1/ 127| loss:  0.000533| predLoss:  0.001| Sharpe:  0.102| gamma:  0.4942
epochs/idx:   1/ 128| loss:  0.000421| predLoss:  0.003| Sharpe:  0.073| gamma:  0.4942
epochs/idx:   1/ 129| loss:  0.000434| predLoss:  0.003| Sharpe:  0.071| gamma:  0.4942
epochs/idx:   1/ 130| loss:  0.000155| predLoss:  0.001| Sharpe:  0.024| gamma:  0.4942
epochs/idx:   1/ 131| loss: -0.000030| predLoss:  0.001| Sharpe: -0.013| gamma:  0.4942
epochs/idx:   1/ 132| loss:  0.000130| predLoss:  0.004| Sharpe:  0.008| gamma:  0.4942
epochs/idx:   1/ 133| loss:  0.000197| predLoss:  0.020| Sharpe: -0.060| gamma:  0.4942
epochs/idx:   1/ 134| loss: -0.000783| predLoss:  0.008| Sharpe: -0.200| gamma:  0.4942
epochs/idx:   1/ 135| loss: -0.000360| predLoss:  0.022| Sharpe: -0.186| gamma:  0.4942
epochs/idx:   1/ 136| loss: -0.000686| predLoss:  0.023| Sharpe: -0.256| gamma:  0.4942
epochs/idx:   1/ 137| loss: -0.003797| predLoss:  0.018| Sharpe: -0.868| gamma:  0.4942
epochs/idx:   1/ 138| loss: -0.003579| predLoss:  0.009| Sharpe: -0.776| gamma:  0.4942
epochs/idx:   1/ 139| loss: -0.004210| predLoss:  0.026| Sharpe: -0.992| gamma:  0.4942
epochs/idx:   1/ 140| loss: -0.005518| predLoss:  0.005| Sharpe: -1.152| gamma:  0.4942
epochs/idx:   1/ 141| loss: -0.004853| predLoss:  0.005| Sharpe: -1.016| gamma:  0.4942
epochs/idx:   1/ 142| loss: -0.003474| predLoss:  0.005| Sharpe: -0.735| gamma:  0.4942
epochs/idx:   1/ 143| loss: -0.003264| predLoss:  0.004| Sharpe: -0.685| gamma:  0.4942
epochs/idx:   1/ 144| loss: -0.003187| predLoss:  0.002| Sharpe: -0.662| gamma:  0.4942
epochs/idx:   1/ 145| loss: -0.003550| predLoss:  0.007| Sharpe: -0.760| gamma:  0.4942
epochs/idx:   1/ 146| loss: -0.003799| predLoss:  0.005| Sharpe: -0.801| gamma:  0.4942
epochs/idx:   1/ 147| loss: -0.003632| predLoss:  0.016| Sharpe: -0.820| gamma:  0.4942
epochs/idx:   1/ 148| loss: -0.003012| predLoss:  0.005| Sharpe: -0.640| gamma:  0.4942
epochs/idx:   1/ 149| loss: -0.001999| predLoss:  0.001| Sharpe: -0.415| gamma:  0.4942
epochs/idx:   1/ 150| loss: -0.001348| predLoss:  0.003| Sharpe: -0.292| gamma:  0.4942
epochs/idx:   1/ 151| loss: -0.001617| predLoss:  0.002| Sharpe: -0.339| gamma:  0.4942
epochs/idx:   1/ 152| loss: -0.001463| predLoss:  0.002| Sharpe: -0.309| gamma:  0.4942
epochs/idx:   1/ 153| loss: -0.001328| predLoss:  0.003| Sharpe: -0.289| gamma:  0.4942
epochs/idx:   1/ 154| loss: -0.001421| predLoss:  0.003| Sharpe: -0.307| gamma:  0.4942
epochs/idx:   1/ 155| loss: -0.001525| predLoss:  0.001| Sharpe: -0.315| gamma:  0.4942
epochs/idx:   1/ 156| loss: -0.000284| predLoss:  0.001| Sharpe: -0.064| gamma:  0.4942
epochs/idx:   1/ 157| loss: -0.000564| predLoss:  0.002| Sharpe: -0.124| gamma:  0.4942
epochs/idx:   1/ 158| loss: -0.000343| predLoss:  0.002| Sharpe: -0.082| gamma:  0.4942
epochs/idx:   1/ 159| loss:  0.000405| predLoss:  0.002| Sharpe:  0.073| gamma:  0.4942
epochs/idx:   1/ 160| loss:  0.000522| predLoss:  0.003| Sharpe:  0.090| gamma:  0.4942
epochs/idx:   1/ 161| loss: -0.000069| predLoss:  0.005| Sharpe: -0.042| gamma:  0.4942
epochs/idx:   1/ 162| loss: -0.000822| predLoss:  0.004| Sharpe: -0.187| gamma:  0.4942
epochs/idx:   1/ 163| loss: -0.001661| predLoss:  0.004| Sharpe: -0.361| gamma:  0.4942
epochs/idx:   1/ 164| loss: -0.001654| predLoss:  0.002| Sharpe: -0.349| gamma:  0.4942
epochs/idx:   1/ 165| loss: -0.001654| predLoss:  0.002| Sharpe: -0.347| gamma:  0.4942
epochs/idx:   1/ 166| loss: -0.001271| predLoss:  0.002| Sharpe: -0.268| gamma:  0.4942
epochs/idx:   1/ 167| loss: -0.000677| predLoss:  0.002| Sharpe: -0.149| gamma:  0.4942
epochs/idx:   1/ 168| loss: -0.001583| predLoss:  0.006| Sharpe: -0.351| gamma:  0.4942
epochs/idx:   1/ 169| loss: -0.001691| predLoss:  0.003| Sharpe: -0.359| gamma:  0.4942
epochs/idx:   1/ 170| loss: -0.001304| predLoss:  0.007| Sharpe: -0.303| gamma:  0.4942
